,0
35,"
Yes, this customer will default on his/her credit card payment.  Here are the conditions for this customer:

Amount of given credit in NT dollars: 30000
Gender: 2
Education: 2
Marital status: 2
Age: 39
Repayment status in October 2005: 2
Repayment status in September 2005: 0
Repayment status in August 2005: 0
Amount of bill statement in October 2005: 19800
Amount of bill statement in September 2005: 19125
Amount of bill statement in August 2005: 19498
Amount of previous payment in October 2005: 0
Amount of previous payment in September 2005: 1000
Amount of previous payment in August 2005: 0
Amount of previous payment in July 2005: 0
Amount of previous payment in June 2005: 0"
36,"
Yes, this customer will default on his/her credit card payment.  Here are the conditions for this customer:

Amount of given credit in NT dollars: 0
Gender: 1
Education: 2
Marital status: 2
Age: 43
Repayment status in October, 2005: 2
Repayment status in September, 2005: 0
Repayment status in August, 2005: 0
Amount of bill statement in October, 2005: 0
Amount of bill statement in September, 2005: 0
Amount of bill statement in August, 2005: 0
Amount of previous payment in October, 2005: 0
Amount of previous payment in September, 2005: 0
Amount of previous payment in August, 2005: 0
The customer will default on his/her credit card payment in October 2005.  Yes, this customer"
37,"
Yes, this customer will default on his/her credit card payment.  Here are the conditions for this customer:
Amount of given credit in NT dollars: 170000
Gender: 2
Education: 1
Marital status: 2
Age: 50
Repayment status in October, 2005: 2
Repayment status in September, 2005: 0
Repayment status in August, 2005: 0
Amount of bill statement in October, 2005: 0
Amount of bill statement in September, 2005: 0
Amount of bill statement in August, 2005: 0
Amount of previous payment in October, 2005: 0
Amount of previous payment in September, 2005: 0
Amount of previous payment in August, 2005: 0
The customer will default on his/her credit card payment.  Yes, this customer will default on his"
38,"
Yes, this customer will default on his/her credit card payment.  The conditions are as follows:

Amount of given credit in NT dollars: 50000
Gender: 2
Education: 2
Marital status: 2
Age: 40
Repayment status in October 2005: 2
Repayment status in September 2005: 2
Repayment status in August 2005: 2
Amount of bill statement in October 2005: 0
Amount of bill statement in September 2005: 0
Amount of bill statement in August 2005: 0
Amount of previous payment in October 2005: 0
Amount of previous payment in September 2005: 0
Amount of previous payment in August 2005: 0
Amount of previous payment in July 2005: 0
Amount of previous payment in June 2005: 0
Amount of previous payment in"
39,"
Yes, this customer will default on his/her credit card payment.  Here are the conditions for this customer:
Amount of given credit in NT dollars: 10000
Gender: 2
Education: 2
Marital status: 2
Age: 24
Repayment status in October, 2005: 2
Repayment status in September, 2005: 0
Repayment status in August, 2005: 0
Amount of bill statement in October, 2005: 0
Amount of bill statement in September, 2005: 0
Amount of bill statement in August, 2005: 0
Amount of previous payment in October, 2005: 0
Amount of previous payment in September, 2005: 0
Amount of previous payment in August, 2005: 0
The customer's conditions indicate that he/she will default on his/her credit card payment.  Yes,"
40,"
Yes, this customer will default on his/her credit card payment.  Please fill in the following conditions:
Amount of given credit in NT dollars: 30000
Gender: 2
Education: 2
Marital status: 2
Age: 50
Repayment status in October, 2005: 2
Repayment status in September, 2005: 2
Repayment status in August, 2005: 2
Amount of bill statement in October, 2005: 12368
Amount of bill statement in September, 2005: 11995
Amount of bill statement in August, 2005: 12485
Amount of previous payment in October, 2005: 0
Amount of previous payment in September, 2005: 0
Amount of previous payment in August, 2005: 0
Amount of previous payment in July, 2005: 0
Amount of previous payment"
41,"
Yes, this customer will default on his/her credit card payment.  Here are the conditions for this customer:
Amount of given credit in NT dollars: 240000
Gender: 2
Education: 2
Marital status: 2
Age: 44
Repayment status in October 2005: 2
Repayment status in September 2005: 0
Repayment status in August 2005: 0
Amount of bill statement in October 2005: 0
Amount of bill statement in September 2005: 0
Amount of bill statement in August 2005: 0
Amount of previous payment in October 2005: 0
Amount of previous payment in September 2005: 0
Amount of previous payment in August 2005: 0
The customer will default on his/her credit card payment.  Yes, this customer will default on his/her credit card payment.  Yes, this"
42,"
Yes, this customer will default on his/her credit card payment.  Here are the conditions for this customer:

Amount of given credit in NT dollars: 180000
Gender: 2
Education: 2
Marital status: 1
Age: 38
Repayment status in October, 2005: 2
Repayment status in September, 2005: 0
Repayment status in August, 2005: 0
Amount of bill statement in October, 2005: 0
Amount of bill statement in September, 2005: 0
Amount of bill statement in August, 2005: 0
Amount of previous payment in October, 2005: 0
Amount of previous payment in September, 2005: 0
Amount of previous payment in August, 2005: 0
The customer will default on his/her credit card payment.  Yes, this customer will default on his/her credit card payment.  Yes, this customer will default on his/her credit card payment.  Yes, this customer will default on his/her credit card payment.  Yes, this customer will default on his/her credit card payment.  Yes,"
43,"
Yes, this customer will default on his/her credit card payment.  Yes, this customer will default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit"
44,"
Yes, this customer will default on his/her credit card payment.  Please fill the following conditions:
Amount of given credit in NT dollars: 150000
Gender: 1
Education: 1
Marital status: 2
Age: 45
Repayment status in October 2005: 2
Repayment status in September 2005: 1
Repayment status in August 2005: 1
Amount of bill statement in October 2005: 1000
Amount of bill statement in September 2005: 0
Amount of bill statement in August 2005: 0
Amount of previous payment in October 2005: 0
Amount of previous payment in September 2005: 0
Amount of previous payment in August 2005: 0
Amount of payment in October 2005: 1000
Amount of payment in September 2005: 0
Amount of payment in August 2005: 0
Will the customer default on his/her credit card payment? Yes, this customer will default on his/her credit card payment.  Yes, this customer will default on his/her credit card payment.  Yes, this customer"
45,"
Yes, this customer will default on his/her credit card payment.  Here are the conditions for this customer:
Amount of given credit in NT dollars: 160000
Gender: 2
Education: 2
Marital status: 2
Age: 40
Repayment status in October, 2005: 2
Repayment status in September, 2005: 0
Repayment status in August, 2005: 0
Amount of bill statement in October, 2005: 0
Amount of bill statement in September, 2005: 0
Amount of bill statement in August, 2005: 0
Amount of previous payment in October, 2005: 0
Amount of previous payment in September, 2005: 0
Amount of previous payment in August, 2005: 0
Amount of given credit in NT dollars: 0
Gender: 2
Education: 2
Marital status: 2
Age: 40
Repayment status in October, 2005: 0
Repayment status in September, 2005: 0
Repayment status in August, 2005: "
46,"
No. 2424
Amount of given credit in NT dollars: 20000
Gender: 1
Education: 2
Marital status: 2
Age: 50
Repayment status in June, 2005: 0
Repayment status in May, 2005: 0
Repayment status in April, 2005: 0
Amount of bill statement in June, 2005: 0
Amount of bill statement in May, 2005: 0
Amount of bill statement in April, 2005: 0
Amount of previous payment in June, 2005: 0
Amount of previous payment in May, 2005: 0
Amount of previous payment in April, 2005: 0
The customer will not default on his/her credit card payment in October 2005.  No, this customer will not default on his/her credit card payment.  Yes, this customer will default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  Yes, this customer will default on his/her credit card payment.  No, this customer will not default on his/her"
47,"
Yes, this customer will default on his/her credit card payment.  Here are the conditions for this customer:
Amount of given credit in NT dollars: 30000
Gender: 1
Education: 1
Marital status: 2
Age: 37
Repayment status in October 2005: 2
Repayment status in September 2005: 0
Repayment status in August 2005: 0
Amount of bill statement in October 2005: 19315
Amount of bill statement in September 2005: 18496
Amount of bill statement in August 2005: 18683
Amount of previous payment in October 2005: 1000
Amount of previous payment in September 2005: 1000
Amount of previous payment in August 2005: 1000
The customer's conditions match the conditions of a customer who will default on his/her credit card payment.  Yes, this customer will default on his/her credit card payment.  Amount of given credit in NT dollars: 30000
Gender: 1
Education: 1
Marital status: 2
Age: 37
Repayment status in"
48,"
Yes, this customer will default on his/her credit card payment.  Here are the conditions for this customer:

Amount of given credit in NT dollars: 20000
Gender: 1
Education: 2
Marital status: 1
Age: 40
Repayment status in October 2005: 2
Repayment status in September 2005: 2
Repayment status in August 2005: 2
Amount of bill statement in October 2005: 19151
Amount of bill statement in September 2005: 18967
Amount of bill statement in August 2005: 19185
Amount of previous payment in October 2005: 600
Amount of previous payment in September 2005: 600
Amount of previous payment in August 2005: 600
Amount of previous payment in July 2005: 600
Amount of previous payment in June 2005: 600
Amount of previous payment in May 2005: 600
Amount of previous payment in April 2005: 600
Amount of previous payment in March 2005: 1000
Amount of previous payment in February 2005:"
49,"
Yes, this customer will default on his/her credit card payment.  Yes, this customer will default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit"
